N1,Z1,N2,Z2,E_ini(MeV),v_ini(c),status,num,E_diss(MeV),integral_Rdot^2(fm*c),fric_ave(MeV/(fm*c))
71,46,71,46,1.0,0.09235141930792203,fusion,1,not calculated
71,46,71,46,2.0,0.13060462968966785,fission,2,297.79854178999267,1.262364640696908,235.90532575879848
71,46,71,46,3.0,0.15995735039241835,fission,2,513.3524226395803,2.3663630186194053,216.9373078434444
71,46,71,46,4.0,0.18470283861584405,fission,2,724.1050925796045,3.112957894562837,232.60998609854084
71,46,71,46,5.0,0.20650405139110023,fission,2,890.159880362803,3.9348608547356663,226.2239792524002
71,46,71,46,6.0,0.22621385432622335,fission,2,982.7442729538291,4.7445798444208656,207.12988403165656
71,46,71,46,7.0,0.24433888871261045,fission,2,1076.0919973097118,5.4854780563261585,196.1710513213525
71,46,71,46,8.0,0.2612092593793357,fission,2,1152.9575841365872,6.204944472985451,185.81271583593278
71,46,71,46,9.0,0.2770542579237661,fission,2,1245.737954337718,6.758198559777568,184.32988366928348
71,46,71,46,10.0,0.29204083016228455,fission,2,1334.6677166425156,7.446546929001374,179.23310352675136
72,46,72,46,1.0,0.09235141930792203,fusion,1,not calculated
72,46,72,46,2.0,0.13060462968966785,fission,2,303.38204169784694,1.2994256982213381,233.4739432297808
72,46,72,46,3.0,0.15995735039241835,fission,2,516.6905489375193,2.3882553899099093,216.34643896145886
72,46,72,46,4.0,0.18470283861584405,fission,2,722.9110781493451,3.1515153636373117,229.385230511775
72,46,72,46,5.0,0.20650405139110023,fission,2,889.4907344848164,3.945848487842986,225.42445236437857
72,46,72,46,6.0,0.22621385432622335,fission,2,992.5181260363955,4.716529108199065,210.43400841331254
72,46,72,46,7.0,0.24433888871261045,fission,2,1090.8533245366789,5.475765163370905,199.21477492017658
72,46,72,46,8.0,0.2612092593793357,fission,2,1177.2886989561919,6.185462725874971,190.33154852447313
72,46,72,46,9.0,0.2770542579237661,fission,2,1261.5917521003666,6.734282742879675,187.33869667623904
72,46,72,46,10.0,0.29204083016228455,fission,2,1352.4047953723325,7.294225595744653,185.40759092525275
73,46,73,46,1.0,0.09235141930792203,fusion,1,not calculated
73,46,73,46,2.0,0.13060462968966785,fission,2,303.79123447915913,1.34516869057016,225.83876402177847
73,46,73,46,3.0,0.15995735039241835,fission,2,518.4963088946904,2.402618145043265,215.8047086942955
73,46,73,46,4.0,0.18470283861584405,fission,2,722.4346209143938,3.1682372361119233,228.02415572925
73,46,73,46,5.0,0.20650405139110023,fission,2,890.0426394115009,3.94143192387637,225.81707780357914
73,46,73,46,6.0,0.22621385432622335,fission,2,1000.1527328921944,4.717003747529862,212.03136279379493
73,46,73,46,7.0,0.24433888871261045,fission,2,1102.9611294934386,5.45364487025224,202.24293215528442
73,46,73,46,8.0,0.2612092593793357,fission,2,1192.4114353745913,6.077105091545849,196.21372634042677
73,46,73,46,9.0,0.2770542579237661,fission,2,1278.117978765777,6.702195101894002,190.70139847235842
73,46,73,46,10.0,0.29204083016228455,fission,2,1370.5646582267623,7.259458077190702,188.797103537672
74,46,74,46,1.0,0.09235141930792203,fusion,1,not calculated
74,46,74,46,2.0,0.13060462968966785,fission,2,308.8170875241692,1.347479459823979,229.18129495236235
74,46,74,46,3.0,0.15995735039241835,fission,2,524.8291912335173,2.403564564951964,218.35452181581243
74,46,74,46,4.0,0.18470283861584405,fission,2,727.9814848204117,3.176254000041791,229.19498403176615
74,46,74,46,5.0,0.20650405139110023,fission,2,895.5060686763477,3.9427605097751313,227.1266708835484
74,46,74,46,6.0,0.22621385432622335,fission,2,1011.3972557337204,4.676149160170696,216.288493179033
74,46,74,46,7.0,0.24433888871261045,fission,2,1123.9936877151763,5.378079358608417,208.9953704227248
74,46,74,46,8.0,0.2612092593793357,fission,2,1207.9657104441044,6.050935545768487,199.6328834288862
74,46,74,46,9.0,0.2770542579237661,fission,2,1303.7224710215696,6.6728875849292315,195.37605788025516
74,46,74,46,10.0,0.29204083016228455,fission,2,1389.669727669029,7.227380118948022,192.27848885735676
75,46,75,46,1.0,0.09235141930792203,fusion,1,not calculated
75,46,75,46,2.0,0.13060462968966785,fission,2,314.78410624458206,1.2158142678128159,258.90805411492795
75,46,75,46,3.0,0.15995735039241835,fission,2,534.3429742256769,2.3776895009116568,224.7320241018848
75,46,75,46,4.0,0.18470283861584405,fission,2,737.685286961625,3.1737154299054198,232.43586366015458
